Customer_ID,Age,Gender,Membership,Total_Orders,Average_Order_Value,Total_Spend,Days_Since_Last_Purchase,Average_Orders_Per_Month,Wishlist_Items,Cart_Abandonment_Rate,Coupons_Used,Return_Rate,App_Sessions_Per_Month,Average_Session_Duration,Customer_Support_Tickets,Product_Categories_Purchased,Payment_Method,Preferred_Shopping_Time,Churn,Predicted_Churn,Churn_Probability,Customer_Segment,Recommendation,AI_Insights
CUST_00001,36,Male,Silver,19,1242.16,22532.86,2,1.32,2,54.5,5,12.9,8,13.1,0,2,UPI,Evening,0,No,0.0071,3,Encourage higher spending through product bundles and seasonal offers. Highlight popular products and limited-time deals. Encourage higher engagement with seasonal promotions and personalized discounts.,AI-generated business insights are currently unavailable.
CUST_00002,64,Female,Basic,1,940.38,865.86,351,0.05,2,68.9,0,15.4,3,4.3,1,1,UPI,Afternoon,1,Yes,0.9961,0,Launch an automated win-back campaign with a limited-time discount. Promote value-for-money products and introductory discounts. Launch a win-back campaign with personalized offers and product recommendations. Re-engage the customer with introductory offers and recommendations based on previously viewed products. Mark this customer as a high-priority retention case for upcoming marketing campaigns.,AI-generated business insights are currently unavailable.
CUST_00003,41,Female,Platinum,23,1003.74,23430.65,42,1.16,3,61.6,6,54.0,9,9.4,2,4,UPI,Evening,1,No,0.1107,2,Encourage higher spending through product bundles and seasonal offers. Remind the customer about wishlist items and recently viewed products. Highlight popular products and limited-time deals. Increase repeat purchases through personalized product recommendations and bundle offers.,AI-generated business insights are currently unavailable.
CUST_00004,55,Female,Gold,13,2020.23,25414.89,26,1.03,8,55.8,6,1.0,5,13.3,0,5,Credit Card,Evening,0,No,0.0557,2,Encourage higher spending through product bundles and seasonal offers. Remind the customer about wishlist items and recently viewed products. Highlight popular products and limited-time deals. Increase repeat purchases through personalized product recommendations and bundle offers.,AI-generated business insights are currently unavailable.
CUST_00005,35,Female,Basic,9,682.1,6863.24,22,0.74,3,80.0,1,8.4,7,3.0,1,1,UPI,Night,0,No,0.041,3,Promote value-for-money products and introductory discounts. Remind the customer about wishlist items and recently viewed products. Encourage higher engagement with seasonal promotions and personalized discounts.,AI-generated business insights are currently unavailable.
CUST_00006,37,Other,Platinum,14,1835.05,23194.35,11,2.5,5,39.9,3,3.0,21,9.3,0,1,UPI,Afternoon,0,No,0.0002,2,Encourage higher spending through product bundles and seasonal offers. Recommend complementary products based on browsing and purchase history. Increase repeat purchases through personalized product recommendations and bundle offers.,AI-generated business insights are currently unavailable.
CUST_00007,47,Female,Gold,15,1387.64,23246.92,69,0.83,4,51.2,1,16.5,9,15.9,1,4,Debit_Card,Afternoon,0,No,0.0832,2,Encourage higher spending through product bundles and seasonal offers. Launch a win-back campaign with personalized offers and product recommendations. Increase repeat purchases through personalized product recommendations and bundle offers.,AI-generated business insights are currently unavailable.
CUST_00008,48,Male,Basic,1,560.27,565.41,365,0.05,4,65.3,0,13.2,3,19.9,0,1,Credit Card,Morning,1,Yes,0.998,0,Launch an automated win-back campaign with a limited-time discount. Promote value-for-money products and introductory discounts. Launch a win-back campaign with personalized offers and product recommendations. Re-engage the customer with introductory offers and recommendations based on previously viewed products. Mark this customer as a high-priority retention case for upcoming marketing campaigns.,AI-generated business insights are currently unavailable.
CUST_00009,36,Male,Basic,1,701.77,762.93,112,0.05,4,71.6,0,1.1,4,8.7,0,1,Cash,Afternoon,1,Yes,0.5533,3,Promote value-for-money products and introductory discounts. Launch a win-back campaign with personalized offers and product recommendations. Encourage higher engagement with seasonal promotions and personalized discounts.,AI-generated business insights are currently unavailable.
CUST_00010,18,Other,Silver,54,988.61,53399.51,27,1.62,5,52.5,15,14.5,7,14.5,1,9,Credit Card,Afternoon,0,No,0.0071,1,"Reward loyalty with exclusive member benefits and early access to new arrivals. Remind the customer about wishlist items and recently viewed products. Highlight popular products and limited-time deals. Provide exclusive member-only offers, early access to new collections, and premium loyalty rewards.",AI-generated business insights are currently unavailable.
CUST_00011,35,Male,Gold,26,1396.96,37093.48,26,1.97,6,44.4,6,6.9,10,23.8,1,6,UPI,Evening,0,No,0.0179,2,Recommend premium products and bonus loyalty rewards. Remind the customer about wishlist items and recently viewed products. Highlight popular products and limited-time deals. Increase repeat purchases through personalized product recommendations and bundle offers.,AI-generated business insights are currently unavailable.
CUST_00012,46,Male,Gold,44,688.75,31801.06,189,1.8,2,70.2,14,11.2,6,15.3,0,12,UPI,Night,0,No,0.0472,1,"Encourage higher spending through product bundles and seasonal offers. Launch a win-back campaign with personalized offers and product recommendations. Provide exclusive member-only offers, early access to new collections, and premium loyalty rewards.",AI-generated business insights are currently unavailable.
